PKLT_NM,TPKCT,NOW_PRK_VHCL_CNT,timestamp,weekday
천호역 공영주차장(시),1431,1191,2024-10-18 16:10:01,Friday
천호역 공영주차장(시),1431,1177,2024-10-18 16:20:01,Friday
천호역 공영주차장(시),1431,1159,2024-10-18 16:30:01,Friday
천호역 공영주차장(시),1431,1152,2024-10-18 16:40:01,Friday
천호역 공영주차장(시),1431,1140,2024-10-18 16:50:01,Friday
천호역 공영주차장(시),1431,1122,2024-10-18 17:00:08,Friday
천호역 공영주차장(시),1431,1106,2024-10-18 17:10:01,Friday
천호역 공영주차장(시),1431,1075,2024-10-18 17:20:05,Friday
천호역 공영주차장(시),1431,1069,2024-10-18 17:40:01,Friday
천호역 공영주차장(시),1431,1047,2024-10-18 17:50:01,Friday
천호역 공영주차장(시),1431,1013,2024-10-18 18:00:06,Friday
천호역 공영주차장(시),1431,992,2024-10-18 18:10:01,Friday
천호역 공영주차장(시),1431,957,2024-10-18 18:20:25,Friday
천호역 공영주차장(시),1431,942,2024-10-18 18:30:28,Friday
천호역 공영주차장(시),1431,905,2024-10-18 18:50:51,Friday
천호역 공영주차장(시),1431,898,2024-10-18 19:00:37,Friday
천호역 공영주차장(시),1431,901,2024-10-18 19:10:29,Friday
천호역 공영주차장(시),1431,887,2024-10-18 19:20:25,Friday
천호역 공영주차장(시),1431,893,2024-10-18 19:30:27,Friday
천호역 공영주차장(시),1431,881,2024-10-18 19:40:33,Friday
천호역 공영주차장(시),1431,878,2024-10-18 19:50:29,Friday
천호역 공영주차장(시),1431,865,2024-10-18 20:00:21,Friday
천호역 공영주차장(시),1431,849,2024-10-18 20:20:24,Friday
천호역 공영주차장(시),1431,846,2024-10-18 20:32:32,Friday
천호역 공영주차장(시),1431,828,2024-10-18 20:40:30,Friday
천호역 공영주차장(시),1431,809,2024-10-18 20:50:58,Friday
천호역 공영주차장(시),1431,799,2024-10-18 21:00:34,Friday
천호역 공영주차장(시),1431,786,2024-10-18 21:10:36,Friday
천호역 공영주차장(시),1431,781,2024-10-18 21:20:26,Friday
천호역 공영주차장(시),1431,774,2024-10-18 21:31:00,Friday
천호역 공영주차장(시),1431,764,2024-10-18 21:40:48,Friday
천호역 공영주차장(시),1431,765,2024-10-18 21:50:41,Friday
천호역 공영주차장(시),1431,749,2024-10-18 22:00:23,Friday
천호역 공영주차장(시),1431,745,2024-10-18 22:10:27,Friday
천호역 공영주차장(시),1431,733,2024-10-18 22:20:26,Friday
천호역 공영주차장(시),1431,723,2024-10-18 22:32:04,Friday
천호역 공영주차장(시),1431,716,2024-10-18 22:40:22,Friday
천호역 공영주차장(시),1431,706,2024-10-18 22:50:22,Friday
천호역 공영주차장(시),1431,701,2024-10-18 23:03:49,Friday
천호역 공영주차장(시),1431,689,2024-10-18 23:10:20,Friday
천호역 공영주차장(시),1431,681,2024-10-18 23:24:54,Friday
천호역 공영주차장(시),1431,678,2024-10-18 23:30:33,Friday
천호역 공영주차장(시),1431,674,2024-10-18 23:40:18,Friday
천호역 공영주차장(시),1431,663,2024-10-18 23:54:35,Friday
천호역 공영주차장(시),1431,654,2024-10-19 00:10:22,Saturday
천호역 공영주차장(시),1431,639,2024-10-19 00:31:40,Saturday
천호역 공영주차장(시),1431,634,2024-10-19 00:42:51,Saturday
천호역 공영주차장(시),1431,628,2024-10-19 00:55:03,Saturday
천호역 공영주차장(시),1431,623,2024-10-19 01:04:12,Saturday
천호역 공영주차장(시),1431,617,2024-10-19 01:10:27,Saturday
천호역 공영주차장(시),1431,610,2024-10-19 01:30:20,Saturday
천호역 공영주차장(시),1431,608,2024-10-19 01:40:15,Saturday
천호역 공영주차장(시),1431,598,2024-10-19 01:50:45,Saturday
천호역 공영주차장(시),1431,596,2024-10-19 02:01:48,Saturday
천호역 공영주차장(시),1431,592,2024-10-19 02:10:23,Saturday
천호역 공영주차장(시),1431,589,2024-10-19 02:31:21,Saturday
천호역 공영주차장(시),1431,588,2024-10-19 02:43:19,Saturday
천호역 공영주차장(시),1431,587,2024-10-19 02:50:24,Saturday
천호역 공영주차장(시),1431,585,2024-10-19 03:00:19,Saturday
천호역 공영주차장(시),1431,578,2024-10-19 03:10:01,Saturday
천호역 공영주차장(시),1431,577,2024-10-19 03:20:02,Saturday
천호역 공영주차장(시),1431,577,2024-10-19 03:30:23,Saturday
천호역 공영주차장(시),1431,576,2024-10-19 03:40:21,Saturday
천호역 공영주차장(시),1431,575,2024-10-19 03:50:21,Saturday
천호역 공영주차장(시),1431,574,2024-10-19 04:00:27,Saturday
천호역 공영주차장(시),1431,572,2024-10-19 04:10:01,Saturday
천호역 공영주차장(시),1431,572,2024-10-19 04:20:01,Saturday
천호역 공영주차장(시),1431,568,2024-10-19 04:30:01,Saturday
천호역 공영주차장(시),1431,568,2024-10-19 04:40:04,Saturday
천호역 공영주차장(시),1431,567,2024-10-19 04:50:03,Saturday
천호역 공영주차장(시),1431,566,2024-10-19 05:00:09,Saturday
천호역 공영주차장(시),1431,567,2024-10-19 05:10:27,Saturday
천호역 공영주차장(시),1431,568,2024-10-19 05:20:08,Saturday
천호역 공영주차장(시),1431,572,2024-10-19 05:30:08,Saturday
천호역 공영주차장(시),1431,579,2024-10-19 05:40:06,Saturday
천호역 공영주차장(시),1431,581,2024-10-19 05:50:26,Saturday
천호역 공영주차장(시),1431,588,2024-10-19 06:02:11,Saturday
천호역 공영주차장(시),1431,600,2024-10-19 06:10:34,Saturday
천호역 공영주차장(시),1431,609,2024-10-19 06:21:58,Saturday
천호역 공영주차장(시),1431,614,2024-10-19 06:30:30,Saturday
천호역 공영주차장(시),1431,631,2024-10-19 06:40:24,Saturday
천호역 공영주차장(시),1431,642,2024-10-19 06:50:20,Saturday
천호역 공영주차장(시),1431,646,2024-10-19 07:00:24,Saturday
천호역 공영주차장(시),1431,654,2024-10-19 07:10:29,Saturday
천호역 공영주차장(시),1431,658,2024-10-19 07:22:06,Saturday
천호역 공영주차장(시),1431,662,2024-10-19 07:30:29,Saturday
천호역 공영주차장(시),1431,660,2024-10-19 07:40:31,Saturday
천호역 공영주차장(시),1431,658,2024-10-19 07:52:00,Saturday
천호역 공영주차장(시),1431,665,2024-10-19 08:00:24,Saturday
천호역 공영주차장(시),1431,663,2024-10-19 08:11:49,Saturday
천호역 공영주차장(시),1431,666,2024-10-19 08:22:08,Saturday
천호역 공영주차장(시),1431,674,2024-10-19 08:32:05,Saturday
천호역 공영주차장(시),1431,687,2024-10-19 08:42:15,Saturday
천호역 공영주차장(시),1431,700,2024-10-19 08:52:08,Saturday
천호역 공영주차장(시),1431,714,2024-10-19 09:00:22,Saturday
천호역 공영주차장(시),1431,721,2024-10-19 09:10:23,Saturday
천호역 공영주차장(시),1431,733,2024-10-19 09:20:24,Saturday
천호역 공영주차장(시),1431,753,2024-10-19 09:31:35,Saturday
천호역 공영주차장(시),1431,769,2024-10-19 09:40:32,Saturday
천호역 공영주차장(시),1431,781,2024-10-19 09:50:23,Saturday
천호역 공영주차장(시),1431,794,2024-10-19 10:00:20,Saturday
천호역 공영주차장(시),1431,821,2024-10-19 10:11:04,Saturday
천호역 공영주차장(시),1431,825,2024-10-19 10:21:03,Saturday
천호역 공영주차장(시),1431,840,2024-10-19 10:30:27,Saturday
천호역 공영주차장(시),1431,850,2024-10-19 10:41:12,Saturday
천호역 공영주차장(시),1431,874,2024-10-19 10:51:11,Saturday
천호역 공영주차장(시),1431,887,2024-10-19 11:01:14,Saturday
천호역 공영주차장(시),1431,904,2024-10-19 11:10:09,Saturday
천호역 공영주차장(시),1431,922,2024-10-19 11:20:05,Saturday
천호역 공영주차장(시),1431,938,2024-10-19 11:30:02,Saturday
천호역 공영주차장(시),1431,946,2024-10-19 11:40:01,Saturday
천호역 공영주차장(시),1431,964,2024-10-19 11:50:01,Saturday
천호역 공영주차장(시),1431,978,2024-10-19 12:00:02,Saturday
천호역 공영주차장(시),1431,997,2024-10-19 12:10:01,Saturday
