PKLT_NM,TPKCT,NOW_PRK_VHCL_CNT,timestamp,weekday
종묘주차장 공영주차장(시),1317,973,2024-10-12 14:50:01,Saturday
종묘주차장 공영주차장(시),1317,974,2024-10-12 15:00:02,Saturday
종묘주차장 공영주차장(시),1317,967,2024-10-12 15:10:01,Saturday
종묘주차장 공영주차장(시),1317,947,2024-10-12 15:20:01,Saturday
종묘주차장 공영주차장(시),1317,964,2024-10-12 15:30:01,Saturday
종묘주차장 공영주차장(시),1317,990,2024-10-12 15:40:01,Saturday
종묘주차장 공영주차장(시),1317,993,2024-10-12 15:50:01,Saturday
종묘주차장 공영주차장(시),1317,998,2024-10-12 16:00:01,Saturday
종묘주차장 공영주차장(시),1317,981,2024-10-12 16:10:04,Saturday
종묘주차장 공영주차장(시),1317,970,2024-10-12 16:20:02,Saturday
종묘주차장 공영주차장(시),1317,974,2024-10-12 16:30:01,Saturday
종묘주차장 공영주차장(시),1317,987,2024-10-12 16:40:01,Saturday
종묘주차장 공영주차장(시),1317,965,2024-10-12 16:50:01,Saturday
종묘주차장 공영주차장(시),1317,967,2024-10-12 17:00:03,Saturday
종묘주차장 공영주차장(시),1317,962,2024-10-12 17:10:01,Saturday
종묘주차장 공영주차장(시),1317,940,2024-10-12 17:20:01,Saturday
종묘주차장 공영주차장(시),1317,909,2024-10-12 17:30:02,Saturday
종묘주차장 공영주차장(시),1317,895,2024-10-12 17:40:03,Saturday
종묘주차장 공영주차장(시),1317,881,2024-10-12 17:50:02,Saturday
종묘주차장 공영주차장(시),1317,878,2024-10-12 18:00:03,Saturday
종묘주차장 공영주차장(시),1317,859,2024-10-12 18:10:02,Saturday
종묘주차장 공영주차장(시),1317,840,2024-10-12 18:20:01,Saturday
종묘주차장 공영주차장(시),1317,848,2024-10-12 18:30:01,Saturday
종묘주차장 공영주차장(시),1317,835,2024-10-12 18:40:01,Saturday
종묘주차장 공영주차장(시),1317,823,2024-10-12 18:50:03,Saturday
종묘주차장 공영주차장(시),1317,821,2024-10-12 19:00:02,Saturday
종묘주차장 공영주차장(시),1317,791,2024-10-12 19:10:01,Saturday
