PKLT_NM,TPKCT,NOW_PRK_VHCL_CNT,timestamp,weekday
동대문 공영주차장(시),1092,53,2024-09-19 07:50:02,Thursday
동대문 공영주차장(시),1092,55,2024-09-19 08:00:07,Thursday
동대문 공영주차장(시),1092,60,2024-09-19 08:10:02,Thursday
동대문 공영주차장(시),1092,65,2024-09-19 08:20:01,Thursday
동대문 공영주차장(시),1092,67,2024-09-19 08:30:01,Thursday
동대문 공영주차장(시),1092,70,2024-09-19 08:40:01,Thursday
동대문 공영주차장(시),1092,81,2024-09-19 08:50:01,Thursday
동대문 공영주차장(시),1092,90,2024-09-19 09:00:05,Thursday
동대문 공영주차장(시),1092,97,2024-09-19 09:10:01,Thursday
동대문 공영주차장(시),1092,99,2024-09-19 09:20:01,Thursday
동대문 공영주차장(시),1092,102,2024-09-19 09:30:02,Thursday
동대문 공영주차장(시),1092,107,2024-09-19 09:40:01,Thursday
동대문 공영주차장(시),1092,109,2024-09-19 09:50:02,Thursday
동대문 공영주차장(시),1092,121,2024-09-19 10:00:01,Thursday
동대문 공영주차장(시),1092,127,2024-09-19 10:10:01,Thursday
동대문 공영주차장(시),1092,132,2024-09-19 10:20:08,Thursday
동대문 공영주차장(시),1092,140,2024-09-19 10:30:02,Thursday
동대문 공영주차장(시),1092,148,2024-09-19 10:40:01,Thursday
동대문 공영주차장(시),1092,150,2024-09-19 10:50:01,Thursday
동대문 공영주차장(시),1092,156,2024-09-19 11:00:02,Thursday
동대문 공영주차장(시),1092,159,2024-09-19 11:10:08,Thursday
동대문 공영주차장(시),1092,167,2024-09-19 11:20:05,Thursday
동대문 공영주차장(시),1092,170,2024-09-19 11:30:01,Thursday
동대문 공영주차장(시),1092,172,2024-09-19 11:40:01,Thursday
동대문 공영주차장(시),1092,175,2024-09-19 11:50:01,Thursday
동대문 공영주차장(시),1092,176,2024-09-19 12:00:01,Thursday
동대문 공영주차장(시),1092,176,2024-09-19 12:10:44,Thursday
동대문 공영주차장(시),1092,178,2024-09-19 12:20:01,Thursday
동대문 공영주차장(시),1092,178,2024-09-19 12:30:01,Thursday
동대문 공영주차장(시),1092,180,2024-09-19 12:40:01,Thursday
동대문 공영주차장(시),1092,177,2024-09-19 12:50:01,Thursday
동대문 공영주차장(시),1092,177,2024-09-19 13:00:25,Thursday
동대문 공영주차장(시),1092,182,2024-09-19 13:10:01,Thursday
동대문 공영주차장(시),1092,182,2024-09-19 13:20:28,Thursday
동대문 공영주차장(시),1092,184,2024-09-19 13:30:09,Thursday
동대문 공영주차장(시),1092,188,2024-09-19 13:40:01,Thursday
동대문 공영주차장(시),1092,187,2024-09-19 13:50:01,Thursday
동대문 공영주차장(시),1092,191,2024-09-19 14:00:02,Thursday
동대문 공영주차장(시),1092,193,2024-09-19 14:10:01,Thursday
동대문 공영주차장(시),1092,196,2024-09-19 14:20:05,Thursday
동대문 공영주차장(시),1092,195,2024-09-19 14:30:01,Thursday
동대문 공영주차장(시),1092,202,2024-09-19 14:40:01,Thursday
동대문 공영주차장(시),1092,198,2024-09-19 14:50:01,Thursday
동대문 공영주차장(시),1092,195,2024-09-19 15:00:01,Thursday
동대문 공영주차장(시),1092,192,2024-09-19 15:10:01,Thursday
동대문 공영주차장(시),1092,193,2024-09-19 15:20:01,Thursday
동대문 공영주차장(시),1092,188,2024-09-19 15:30:01,Thursday
동대문 공영주차장(시),1092,189,2024-09-19 15:40:02,Thursday
동대문 공영주차장(시),1092,185,2024-09-19 15:50:01,Thursday
동대문 공영주차장(시),1092,178,2024-09-19 16:00:01,Thursday
동대문 공영주차장(시),1092,171,2024-09-19 16:10:02,Thursday
동대문 공영주차장(시),1092,169,2024-09-19 16:20:01,Thursday
동대문 공영주차장(시),1092,168,2024-09-19 16:30:02,Thursday
동대문 공영주차장(시),1092,163,2024-09-19 16:40:02,Thursday
동대문 공영주차장(시),1092,163,2024-09-19 16:50:01,Thursday
동대문 공영주차장(시),1092,166,2024-09-19 17:00:01,Thursday
동대문 공영주차장(시),1092,161,2024-09-19 17:10:02,Thursday
동대문 공영주차장(시),1092,150,2024-09-19 17:20:01,Thursday
